pl_name,pl_hostname,pl_letter,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,rapl_name,st_raerr,decpl_name,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility,pl_eqt,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,rapl_name,decpl_name,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
CoRoT-11 b,CoRoT-11,b,Transit,0,1,2.99433,1.1e-05,-1.1e-05,0.0,4,0.0436,0.005,-0.005,0.0,4,0.0,,,0.0,3,83.17,0.15,-0.15,0.0,4,2.33,0.34,-0.34,0.0,4,Mass,1.43,0.03,-0.03,0.0,4,0.99,0.15,-0.15,0.0,4,0,0,0,18h42m44.94s,+05d56m15.7s,280.687263,1.9e-05,5.937688,1.7e-05,1,560.0,30.0,-30.0,0.0,2,12.939,0.019,0.0,V (Johnson),12.841,,0.0,6440.0,120.0,-120.0,0.0,5,1.27,0.05,-0.05,0.0,5,1.37,0.03,-0.03,0.0,6,0,2014-05-14,CoRoT,1657.0,Confirmed,2.33,0.27,0.27,,,,1.43,0.033,0.033,2.994325,2.1e-05,2.1e-05,0.04351,0.00036,0.00036,0.0,,,81.41,0.17,0.17,7.8e-05,2010.0,2014-08-17,,,,,,,,,,2454597.679688,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560.0,30.0,30.0,0.04,0.03,0.03,1.27,0.05,0.05,1.36,0.13,0.13,F6V,2.0,1.0,1.0,6343.0,72.0,72.0,,,
CoRoT-12 b,CoRoT-12,b,Transit,0,1,2.828042,1.3e-05,-1.3e-05,0.0,4,0.04016,0.00093,-0.00092,0.0,4,0.07,0.063,-0.042,0.0,2,85.48,0.72,-0.77,0.0,4,0.917,0.07,-0.065,0.0,4,Mass,1.44,0.13,-0.13,0.0,4,0.411,0.129,-0.094,0.0,4,0,0,0,06h43m03.76s,-01d17m47.2s,100.765677,1.7e-05,-1.296439,1.7e-05,1,1150.0,85.0,-85.0,0.0,2,15.515,0.052000000000000005,0.0,V (Johnson),15.345,,0.0,5675.0,80.0,-80.0,0.0,5,1.08,0.08,-0.07,0.0,5,1.12,0.1,-0.09,0.0,6,0,2014-05-14,CoRoT,1442.0,Confirmed,0.917,0.065,0.07,,,,1.44,0.13,0.13,2.828042,1.3000000000000001e-05,1.3000000000000001e-05,0.04016,0.0009199999999999999,0.0009199999999999999,0.07,0.042,0.042,85.48,0.77,0.77,3.5e-05,2010.0,2014-08-16,105.0,27.0,27.0,,,,,,,2454398.62707,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150.0,85.0,85.0,0.16,0.1,0.1,1.078,0.07200000000000001,0.07200000000000001,1.1159999999999999,0.092,0.092,G2V,6.3,3.1,3.1,5675.0,80.0,80.0,,,
CoRoT-13 b,CoRoT-13,b,Transit,0,1,4.03519,3e-05,-3e-05,0.0,3,0.051,0.0031,-0.0031,0.0,3,0.0,,,0.0,2,88.02,0.34,-0.36,0.0,3,1.308,0.066,-0.066,0.0,3,Mass,0.885,0.014,-0.014,0.0,3,2.34,0.23,-0.23,0.0,3,0,0,0,06h50m53.07s,-05d05m11.2s,102.721137,1.7e-05,-5.0864449999999986,1.7e-05,1,1060.0,100.0,-100.0,0.0,2,15.039,0.041,0.0,V (Johnson),14.915,,0.0,5945.0,90.0,-90.0,0.0,4,1.09,0.02,-0.02,0.0,3,1.01,0.03,-0.03,0.0,4,0,2014-05-14,CoRoT,1700.0,Confirmed,1.308,0.066,0.066,,,,0.885,0.013999999999999999,0.013999999999999999,4.03519,2.9999999999999997e-05,2.9999999999999997e-05,0.051,0.0031,0.0031,0.0,,,88.02,0.036000000000000004,0.036000000000000004,3.9e-05,2010.0,2014-08-16,,,,,,,,,,2454790.8091,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-13,102.7208333,-5.0863889,15.04,,,,,1310.0,100.0,100.0,0.01,0.07,0.07,1.09,0.02,0.02,1.01,0.03,0.03,G0V,1.64,1.52,1.52,5945.0,90.0,90.0,,,
CoRoT-14 b,CoRoT-14,b,Transit,0,1,1.51214,0.00013000000000000002,-0.00013000000000000002,0.0,3,0.027000000000000003,0.002,-0.002,0.0,3,0.0,,,0.0,2,79.6,0.8,-0.8,0.0,3,7.6,0.6,-0.6,0.0,3,Mass,1.09,0.07,-0.07,0.0,3,7.3,1.5,-1.5,0.0,3,0,0,0,06h53m41.81s,-05d32m09.7s,103.424211,1.7e-05,-5.536037,1.7e-05,1,1340.0,110.0,-110.0,0.0,2,16.033,0.07,0.0,V (Johnson),15.812,,0.0,6035.0,100.0,-100.0,0.0,4,1.13,0.09,-0.09,0.0,3,1.21,0.08,-0.08,0.0,4,0,2014-05-14,CoRoT,1952.0,Confirmed,7.6,0.6,0.6,,,,1.09,0.07,0.07,1.51214,0.00013000000000000002,0.00013000000000000002,0.027000000000000003,0.002,0.002,0.0,,,79.6,0.8,0.8,2e-05,2010.0,2014-01-24,,,,2454787.6702,,,,,,2454787.6694,0.0053,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-14,103.425,-5.536111099999999,16.03,,,,,1340.0,110.0,110.0,0.05,0.15,0.15,1.13,0.09,0.09,1.21,0.08,0.08,F9V,4.2,3.8,3.8,6035.0,100.0,100.0,,,
CoRoT-16 b,CoRoT-16,b,Transit,0,1,5.35227,0.0002,-0.0002,0.0,2,0.0618,0.0015,-0.0015,0.0,2,0.33,0.09,-0.1,0.0,2,85.01,0.94,-1.2,0.0,2,0.535,0.085,-0.083,0.0,2,Mass,1.17,0.16,-0.14,0.0,2,0.44,0.21,-0.14,0.0,2,0,0,0,18h34m05.93s,-06d00m09.3s,278.524691,1.7e-05,-6.002595,1.7e-05,1,840.0,90.0,-90.0,0.0,2,15.63,,0.0,V (Johnson),15.651,,0.0,5650.0,100.0,-100.0,0.0,3,1.1,0.08,-0.08,0.0,2,1.19,0.14,-0.13,0.0,3,0,2014-05-14,CoRoT,,Confirmed,0.535,0.085,0.085,,,,1.17,0.14,0.14,5.35227,0.0002,0.0002,0.0618,0.0015,0.0015,0.33,0.1,0.1,85.01,1.2,1.2,7.4e-05,2010.0,2014-01-24,168.41,21.0,21.0,,,,,,,2454923.9138,0.0022,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-16,278.525,-6.0025,15.64,,,,,840.0,90.0,90.0,0.19,0.06,0.06,1.0979999999999999,0.078,0.078,1.19,0.14,0.14,G5V,6.73,2.8,2.8,5650.0,100.0,100.0,,,
CoRoT-17 b,CoRoT-17,b,Transit,0,1,3.7681,0.0003,-0.0003,0.0,3,0.0461,0.0008,-0.0008,0.0,3,0.0,,,0.0,2,88.34,1.54,-1.54,0.0,3,2.43,0.3,-0.3,0.0,3,Mass,1.02,0.07,-0.07,0.0,3,2.82,0.38,-0.38,0.0,3,0,0,0,18h34m47.82s,-06d36m44.0s,278.699254,1.7e-05,-6.612234,1.7e-05,1,920.0,50.0,-50.0,0.0,2,15.46,,0.0,V (Johnson),15.437,,0.0,5740.0,80.0,-80.0,0.0,4,1.04,0.1,-0.1,0.0,3,1.59,0.07,-0.07,0.0,4,0,2014-05-14,CoRoT,1626.0,Confirmed,2.43,0.16,0.16,,,,1.02,0.07,0.07,3.768125,0.00025699999999999996,0.00025699999999999996,0.0461,0.0008,0.0008,0.0,,,88.34,1.54,1.54,5e-05,2010.0,2014-01-24,,,,,,,,,,2454923.3093,0.0036130000000000003,0.0036130000000000003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-17,278.6958333,-6.612222200000001,15.46,,,,,920.0,50.0,50.0,0.0,0.1,0.1,1.04,0.1,0.1,1.59,0.07,0.07,G2V,10.7,1.0,1.0,5740.0,80.0,80.0,,,
CoRoT-18 b,CoRoT-18,b,Transit,0,1,1.9000693,2.8e-06,-2.8e-06,0.0,4,0.0295,0.0016,-0.0016,0.0,4,0.08,,,1.0,2,86.5,1.4,-0.9,0.0,4,3.47,0.38,-0.38,0.0,4,Mass,1.31,0.18,-0.18,0.0,4,2.2,0.8,-0.8,0.0,4,0,0,0,06h32m41.38s,-00d01m53.7s,98.17241,2.2e-05,-0.031586,1.7e-05,1,870.0,90.0,-90.0,0.0,2,15.0,0.1,0.0,V (Johnson),14.800999999999998,,0.0,5440.0,100.0,-100.0,0.0,4,0.95,0.15,-0.15,0.0,4,1.0,0.13,-0.13,0.0,5,0,2014-05-14,CoRoT,1550.0,Confirmed,3.47,0.38,0.38,,,,1.31,0.18,0.18,1.9000693,2.8e-06,2.8e-06,0.0295,0.0016,0.0016,0.08,inf,,86.5,0.9,0.9,3.4e-05,2011.0,2014-01-24,,,,,,,,,,2455321.72412,0.00018,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-18,98.17083334700001,0.031388901000000004,14.99,,,,,870.0,90.0,90.0,-0.1,0.1,0.1,0.95,0.15,0.15,1.0,0.13,0.13,G9V,,,,5440.0,100.0,100.0,,,
CoRoT-19 b,CoRoT-19,b,Transit,0,1,3.89713,2e-05,-2e-05,0.0,3,0.0518,0.0008,-0.0008,0.0,3,0.047,0.045,-0.045,0.0,2,88.0,0.7,-0.7,0.0,3,1.11,0.06,-0.06,0.0,3,Mass,1.29,0.03,-0.03,0.0,3,0.71,0.06,-0.06,0.0,3,0,0,0,06h28m08.06s,-00d10m14.5s,97.033582,1.7e-05,-0.170681,1.7e-05,1,770.0,160.0,-160.0,0.0,2,14.007,,0.0,V (Johnson),13.783,,0.0,6090.0,70.0,-70.0,0.0,4,1.21,0.05,-0.05,0.0,3,1.65,0.04,-0.04,0.0,4,0,2014-05-14,CoRoT,2000.0,Confirmed,1.11,0.06,0.06,,,,1.29,0.05,0.05,3.89713,2e-05,2e-05,0.0518,0.0008,0.0008,0.047,0.045,0.045,87.61,0.37,0.37,6.500000000000001e-05,2011.0,2014-01-24,86.0,60.0,60.0,,,,,,,2455257.4410200003,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-19,97.033333336,0.170555562,14.78,,,,,800.0,200.0,200.0,-0.02,0.1,0.1,1.21,0.06,0.06,1.65,0.04,0.04,F9V,5.0,1.0,1.0,6090.0,70.0,70.0,,,
CoRoT-20 b,CoRoT-20,b,Transit,0,2,9.24285,0.0003,-0.0003,0.0,5,0.09,0.002,-0.002,0.0,5,0.59,0.02,-0.02,0.0,3,88.21,0.53,-0.53,0.0,5,4.3,0.2,-0.2,0.0,5,Mass,,,,0.0,4,,,,0.0,4,0,0,0,06h30m52.90s,+00d13m36.9s,97.720408,1.7e-05,0.226919,1.7e-05,1,864.31,24.46,-24.46,0.0,2,14.66,,0.0,V (Johnson),14.469,,0.0,,,,0.0,4,1.14,0.08,-0.08,0.0,5,,,,0.0,5,1,2018-07-19,CoRoT,,Confirmed,4.24,0.23,0.23,,,,0.84,0.04,0.04,9.24285,0.0,0.0,0.0902,0.0021,0.0021,0.562,0.013000000000000001,0.013000000000000001,88.21,0.53,0.53,7.3e-05,2011.0,2014-07-10,56.3,2.4,2.4,,,,,,,2455266.0001,0.0014,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-20,97.730434,0.22691999999999998,14.66,,,,,1230.0,120.0,120.0,0.14,0.12,0.12,1.14,0.08,0.08,0.92,,,G2V,0.1,0.04,0.04,5880.0,90.0,90.0,,,
CoRoT-22 b,CoRoT-22,b,Transit,0,1,9.75598,0.00011,-0.00011,0.0,1,0.092,0.0014,-0.0014,0.0,1,0.077,0.3,-0.042,0.0,1,89.749,0.032,-0.9,0.0,1,0.038,0.044,-0.028,0.0,1,Mass,0.435,0.015,-0.035,0.0,1,0.249,1.0,-0.097,0.0,1,0,0,0,18h42m40.11s,+06d13m08.9s,280.667115,1.9e-05,6.219136,1.7e-05,1,592.0,25.0,-42.0,0.0,2,13.944,0.083,0.0,V (Johnson),13.73,,0.0,5939.0,54.0,-120.0,0.0,2,1.1,0.05,-0.05,0.0,1,1.14,0.04,-0.09,0.0,2,0,2014-08-21,CoRoT,885.0,Confirmed,0.06,0.0214,0.0941,,,,0.4354,0.0348,0.0152,9.755980000000001,0.00011,0.00011,0.092,0.0014,0.0014,0.077,0.042,0.3,89.749,0.9,0.032,0.000149,2011.0,2018-11-20,210.0,30.0,70.0,,,,,,,2454598.42014,0.0005099999999999999,0.00099,,,,,,,,,,,,,,,,885.0,,,,,,,,,Announced on a professional conference,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-22,280.66666668,6.2250000110000006,11.93,,,,,592.0,42.0,25.0,0.17,0.12,0.07,1.099,0.049,0.049,1.136,0.09,0.038,G0IV,3.3,2.0,2.0,5939.0,120.0,54.0,,,
