pl_id,pl_name,st_mass,pl_orbper,st_teff,st_dist,pl_bmassj,pl_eqt,st_dist_km,years_by_car,years_by_plane,years_by_rocket,pl_mass_e
330,Proxima Cen b,0.12,11.186,3050.0,1.3,0.004,-39.0,40141532283840.0,31528064.941753063,6305612.988350612,156389.21102060052,1.2712
482,GJ 411 b,0.39,12.9532,3563.0,2.55,0.00941,77.0,78739159479840.0,61843512.00113101,12368702.400226202,306763.45238656254,2.990498
387,Ross 128 b,0.17,9.8658,3192.0,3.38,0.0044,28.0,104367983937984.0,81972968.84855796,16394593.769711591,406611.94865356135,1.3983200000000002
35,HD 20794 b,0.7,18.315,5401.0,6.0,0.0085,387.0,185268610540800.0,145514145.88501415,29102829.177002825,721796.3585566179,2.7013000000000003
36,HD 20794 c,0.7,40.114000000000004,5401.0,6.0,0.0076,235.0,185268610540800.0,145514145.88501415,29102829.177002825,721796.3585566179,2.41528
37,HD 20794 d,0.7,90.309,5401.0,6.0,0.015,115.0,185268610540800.0,145514145.88501415,29102829.177002825,721796.3585566179,4.767
174,HD 219134 f,0.81,22.717,4699.0,6.53,0.022969999999999997,250.0,201634004471903.97,158367895.43819037,31673579.087638073,785555.0368957856,7.299866
208,HD 219134 d,0.81,46.858999999999995,4699.0,6.53,0.05088,138.0,201634004471903.97,158367895.43819037,31673579.087638073,785555.0368957856,16.169664
207,HD 219134 c,0.81,6.7645800000000005,4699.0,6.53,0.01372,509.0,201634004471903.97,158367895.43819037,31673579.087638073,785555.0368957856,4.360216
206,HD 219134 b,0.81,3.092926,4699.0,6.53,0.01491,742.0,201634004471903.97,158367895.43819037,31673579.087638073,785555.0368957856,4.738398
556,LTT 1445 b,0.26,5.35882,3337.0,6.87,0.00692,160.0,212132559069216.0,166613697.0383412,33322739.407668237,826456.8305473274,2.199176
610,Gl 686 b,0.42,15.5314,3663.0,8.16,0.02089,106.0,251965310335488.0,197899238.40361923,39579847.680723846,981643.0476370002,6.6388419999999995
138,HD 192310 c,0.8,525.8,5166.0,8.8,0.076,-88.0,271727295459840.0,213420747.29802072,42684149.459604144,1058634.6592163728,24.1528
137,HD 192310 b,0.8,74.72,5166.0,8.8,0.0532,82.0,271727295459840.0,213420747.29802072,42684149.459604144,1058634.6592163728,16.906959999999998
588,GJ 357 b,0.34,3.9307199999999995,3505.0,9.44,0.00579,252.0,291489280584192.0,228942256.19242224,45788451.23848445,1135626.2707957453,1.840062
589,GJ 357 c,0.34,9.1247,3505.0,9.44,0.0107,128.0,291489280584192.0,228942256.19242224,45788451.23848445,1135626.2707957453,3.40046
